# Nmap 7.60 scan initiated Wed Apr  4 20:03:54 2018 as: nmap -p 139,445 -v -oG nmap.txt 192.168.91.0/24
# Ports scanned: TCP(2;139,445) UDP(0;) SCTP(0;) PROTOCOLS(0;)
Host: 192.168.91.126 () Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.127 () Status: Up
Host: 192.168.91.127 () Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.128 () Status: Up
Host: 192.168.91.128 () Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.129 () Status: Up
Host: 192.168.91.129 () Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.130 () Status: Up
Host: 192.168.91.130 () Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.131 () Status: Up
Host: 192.168.91.131 () Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.132 () Status: Up
Host: 192.168.91.132 () Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.133 () Status: Up
Host: 192.168.91.133 () Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.134 () Status: Up
Host: 192.168.91.134 () Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.135 () Status: Up
Host: 192.168.91.135 () Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.136 () Status: Up
Host: 192.168.91.136 () Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.137 () Status: Up
Host: 192.168.91.137 () Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.138 () Status: Up
Host: 192.168.91.138 () Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.139 () Status: Up
Host: 192.168.91.139 () Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.140 () Status: Up
